2024-11-21 16:59:52 ERROR KeyError in pipeline_gold.SpectrometerDataAnalysis.analyse() for Run: 432854: 'Avantes_Spectrometer_UV'
2024-11-21 16:59:52 ERROR KeyError in pipeline_gold.OscilloscopeDataAnalysis.analyse() for Run: 432854: 'captorius3'
2024-11-21 16:59:52 ERROR KeyError in pipelines.gold: get_black_box_function_value 'ELENA_Parameters'
2024-11-21 16:59:52 ERROR KeyError in pipeline_gold.ExtendedDataAnalysis for run: 432854: 'SC12_coinc'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_1_TOF_ions'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_1_TOF_ions'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_3_TOF_ions'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_2_TOF_ions'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_1_TOF_electrons'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Channel_1_TOF_electrons'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: '1TCMOS'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Batman'
2024-11-21 16:59:52 ERROR KeyError in Dataset.from_variable_name for Run: 432854: 'Build_and_Init_Library.py'
2024-11-21 17:05:08 INFO finding looplift candidates
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Pw
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector HV_Line_Voltage
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius1
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector captorius3
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector CinqueUnoCinqueDue
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVPulseMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector HVGateMon
2024-11-21 17:05:09 INFO INFO: no config file for detector PMTDigi
2024-11-21 17:05:09 INFO INFO: no config file for detector PMTDigi
